region,avg_biascrimes_per_100k
1,1.806410489
2,1.656700109
3,3.413927994
4,0.869208872
5,2.397985899
6,2.804688765
7,3.772701469
8,1.469979563
9,10.95347971
10,0.698070342
11,0.412011824
12,
13,1.891330529
14,1.044015798
15,1.757356567
16,0.561395565
17,2.143986672
18,4.207889621
19,1.341169554
20,2.626610924
21,1.324839538
22,4.801899339
23,3.200442266
24,3.612411816
25,0.622745989
26,1.908954989
27,2.954959378
28,2.68624842
29,2.113990154
30,2.105988585
31,4.413202591
32,1.886435184
33,3.102164284
34,1.262679796
35,4.741069885
36,3.240420404
37,1.08167215
38,3.394886113
39,0.43092759
40,1.282571834
41,1.937082833
42,3.301737127
43,3.13605115
44,0.752768305
45,2.384065044
46,1.90308139
47,1.724754584
48,3.817740296
49,2.037053631
50,1.121944651
51,0.26694076
